model,year,price,transmission,mileage,fuelType,tax,mpg,engineSize
Focus,2015,29493,Manual,29165,Petrol,237,31.8,1.2
Fiesta,2019,28530,Automatic,1667,Diesel,198,60.4,2.9
Focus,2016,15196,Automatic,26213,Diesel,291,44.9,2.4
Focus,2022,19559,Manual,4114,Hybrid,162,45.7,2.1
Focus,2020,11368,Automatic,36321,Petrol,148,60.2,1.1
Fiesta,2016,11797,Automatic,7761,Diesel,291,66.7,2
Fiesta,2016,23114,Automatic,31116,Hybrid,131,68,1.8
Fiesta,2020,21718,Manual,33768,Diesel,234,53.1,1.3
Fiesta,2017,9792,Automatic,48406,Petrol,120,44.3,2.3
Focus,2022,19053,Manual,25426,Hybrid,119,61.5,2.9
Fiesta,2019,11476,Automatic,17772,Diesel,253,40,2.1
Fiesta,2015,11417,Manual,38218,Petrol,226,52.6,2.4
Focus,2018,9645,Manual,3712,Diesel,167,44.3,1.1
Fiesta,2015,22755,Automatic,1367,Hybrid,209,56.3,1.8
Fiesta,2018,27414,Manual,40957,Petrol,215,39.6,1.2
Fiesta,2015,27256,Manual,41781,Hybrid,242,37.7,2.2
Focus,2020,11072,Automatic,49606,Diesel,219,66.7,2.9
Fiesta,2019,9854,Automatic,26200,Diesel,178,34.1,2.3
Focus,2022,28405,Manual,51924,Petrol,215,50.2,1.2
Focus,2018,12662,Automatic,3726,Diesel,191,38.8,1.7
Focus,2022,14514,Automatic,23616,Hybrid,113,31.6,2.1
Focus,2022,29415,Manual,27723,Diesel,254,31.4,1.8
Focus,2022,10708,Manual,37574,Hybrid,224,37,2.7
Fiesta,2021,19694,Manual,34958,Diesel,267,64.7,2.6
Focus,2017,17524,Automatic,9108,Hybrid,157,41.3,2.2
Focus,2015,27891,Manual,12178,Hybrid,127,68,1.7
Focus,2022,14456,Automatic,35643,Hybrid,125,53.3,1.5
Fiesta,2015,12212,Manual,31324,Diesel,212,47.5,1.2
Focus,2022,21224,Manual,38360,Hybrid,290,53.2,1.7
Focus,2018,15970,Manual,17824,Petrol,165,50.7,1.8
Fiesta,2017,24920,Manual,45360,Diesel,252,60.4,2.4
Focus,2017,9625,Automatic,8927,Hybrid,230,41.3,2.3
Focus,2020,18314,Automatic,28144,Hybrid,299,44.1,1.1
Fiesta,2021,15973,Automatic,31010,Hybrid,143,65.8,1.8
Focus,2020,16577,Automatic,22443,Hybrid,196,67.9,1.4
Fiesta,2020,16070,Automatic,14437,Petrol,141,65.7,1.3
Focus,2020,16666,Manual,44298,Petrol,105,46.8,2.7
Focus,2020,11600,Manual,39778,Petrol,266,61.2,1.1
Focus,2020,14783,Automatic,11207,Hybrid,279,49.1,1.8
Fiesta,2019,21226,Automatic,56269,Hybrid,122,49.9,1.3
Fiesta,2017,17146,Manual,25537,Diesel,188,38.2,2.8
Fiesta,2020,12971,Automatic,35757,Petrol,222,53.6,2.1
Fiesta,2022,21490,Automatic,12040,Hybrid,277,37.4,1.5
Focus,2017,25589,Manual,41986,Hybrid,270,43.3,2
Fiesta,2017,20951,Automatic,22612,Petrol,246,64.2,2.5
Fiesta,2016,20312,Automatic,28441,Hybrid,296,38.3,2.9
Fiesta,2019,9990,Automatic,6471,Hybrid,150,32.8,1.4
Focus,2020,13299,Automatic,35631,Hybrid,110,32.8,2.8
Focus,2015,20997,Automatic,43461,Hybrid,111,67.6,2.9
Focus,2018,27956,Automatic,26523,Diesel,173,50.3,2.8
Focus,2021,21472,Manual,31348,Diesel,107,46.4,2.3
Focus,2022,12380,Automatic,1177,Diesel,251,62.4,2.3
Fiesta,2015,12757,Automatic,4760,Petrol,140,63.4,1.8
Fiesta,2019,27097,Automatic,32779,Petrol,263,43.3,2.5
Focus,2018,18395,Automatic,21636,Petrol,184,57.7,2.1
Focus,2019,24241,Manual,16353,Diesel,171,60.8,2.4
Fiesta,2022,13588,Automatic,53551,Petrol,154,56.2,1.9
Focus,2017,25350,Manual,11556,Hybrid,236,36.1,2.5
Focus,2018,12944,Automatic,27598,Hybrid,146,65,2.6
Fiesta,2017,21395,Manual,11563,Hybrid,242,51.6,1.3
Focus,2022,27816,Automatic,46819,Hybrid,275,41.3,2.7
Focus,2015,25072,Automatic,43790,Hybrid,203,47,2.1
Focus,2022,12243,Manual,8234,Hybrid,141,31.5,2.7
Focus,2015,28085,Manual,25519,Hybrid,159,35.1,1.9
Fiesta,2018,29566,Automatic,26966,Petrol,297,60.6,1.8
Focus,2018,17916,Automatic,54597,Diesel,111,30,2.8
Fiesta,2020,28806,Automatic,16173,Diesel,229,46.7,1.5
Focus,2019,17984,Automatic,59889,Diesel,106,50.9,2.7
Focus,2020,9759,Automatic,26987,Diesel,179,32.2,2
Focus,2019,17181,Manual,13178,Hybrid,230,68.9,2
Fiesta,2020,10482,Automatic,39338,Hybrid,208,39,1.6
Focus,2017,8951,Automatic,58348,Hybrid,102,42.2,2.1
Focus,2018,10079,Automatic,24596,Hybrid,126,42.2,1.7
Focus,2015,10717,Manual,33174,Petrol,213,39.2,1.1
Fiesta,2019,28908,Automatic,41974,Diesel,206,30.1,1.5
Focus,2022,17692,Automatic,4431,Petrol,139,59.2,1
Fiesta,2019,15311,Automatic,59182,Diesel,260,68.7,3
Fiesta,2015,26449,Manual,27764,Petrol,228,39,2.9
Focus,2020,8768,Manual,21627,Diesel,107,56.5,1.8
Fiesta,2019,13490,Automatic,39310,Diesel,200,59.7,2.5
Fiesta,2021,23534,Automatic,56088,Petrol,259,63.9,1.7
Focus,2017,14645,Manual,8906,Petrol,223,46.9,2.3
Fiesta,2018,29467,Manual,36914,Hybrid,275,42.1,2.6
Focus,2015,13232,Manual,44814,Petrol,206,43,2.9
Fiesta,2018,19485,Automatic,45379,Diesel,200,58.5,1.8
Fiesta,2021,13797,Manual,13076,Diesel,103,62.7,2.6
Focus,2019,29310,Manual,49292,Diesel,297,37.3,1.5
Focus,2019,27719,Manual,37650,Diesel,209,44.8,3
Focus,2022,20342,Manual,46881,Petrol,118,66.1,1.1
Fiesta,2021,16038,Automatic,46413,Hybrid,131,62.3,2.2
Focus,2015,24002,Automatic,6012,Diesel,236,69.4,2.3
Focus,2022,21087,Automatic,50115,Diesel,111,60.2,2.4
Focus,2017,12873,Manual,7151,Diesel,238,45.7,1.2
Focus,2022,9481,Manual,57716,Petrol,145,53.6,2.9
Focus,2016,18093,Automatic,28211,Diesel,218,56.4,1.4
Focus,2015,27835,Automatic,27117,Hybrid,115,33.1,2.2
Focus,2016,22422,Automatic,36378,Hybrid,228,51.8,1.4
Fiesta,2021,24438,Automatic,42652,Diesel,162,58.4,1.6
Focus,2020,15643,Manual,6894,Diesel,208,36.7,2.1
Fiesta,2016,27846,Manual,13467,Petrol,218,61.2,1.8
Fiesta,2017,23708,Automatic,31010,Diesel,120,53.4,1.3
Focus,2022,19271,Automatic,56463,Petrol,257,68.1,1.3
Fiesta,2020,25216,Automatic,49257,Hybrid,112,31.7,1.8
Fiesta,2022,20600,Automatic,54691,Petrol,261,40.6,2.5
Fiesta,2016,18998,Manual,42641,Petrol,103,54.1,2.8
Fiesta,2022,22295,Manual,12289,Diesel,255,41.9,1.2
Fiesta,2021,18682,Manual,44976,Hybrid,201,58.6,1.8
Fiesta,2020,24380,Manual,43596,Petrol,158,60.4,1.2
Fiesta,2021,16519,Automatic,23171,Hybrid,227,34.1,1
Fiesta,2016,27694,Automatic,34905,Petrol,126,50.6,2.3
Fiesta,2021,11300,Manual,20829,Hybrid,168,50.4,2.2
Fiesta,2017,14722,Automatic,52682,Petrol,124,44.8,1.3
Focus,2016,15218,Automatic,34054,Hybrid,230,67.3,1.5
Fiesta,2016,28059,Automatic,48478,Petrol,196,63.1,1
Fiesta,2016,11054,Manual,44139,Hybrid,295,57.9,2.7
Focus,2015,21575,Automatic,48713,Petrol,124,58.6,2.9
Focus,2022,15970,Automatic,29734,Diesel,247,48.5,1.3
Focus,2015,10143,Manual,7052,Hybrid,261,66.8,1.5
Fiesta,2015,29591,Manual,3654,Diesel,253,57.8,2.7
Fiesta,2017,17503,Manual,23486,Diesel,225,59.2,2.9
Fiesta,2020,23149,Manual,18743,Petrol,232,64.5,1.8
Focus,2022,26922,Automatic,48368,Diesel,288,41,1.1
Fiesta,2021,20175,Manual,24489,Hybrid,108,62.3,1.1
Fiesta,2019,28931,Automatic,8636,Petrol,215,37.8,2.1
Focus,2016,16356,Manual,6441,Petrol,277,43.8,1.8
Focus,2021,29389,Automatic,54199,Hybrid,233,43.4,1.1
Focus,2016,23070,Automatic,24611,Hybrid,159,69.1,2.2
Fiesta,2017,8822,Manual,54355,Diesel,271,64.3,1
Fiesta,2016,25327,Automatic,42435,Diesel,220,58,2.6
Fiesta,2015,22289,Automatic,12149,Petrol,238,59.1,1.6
Fiesta,2022,14150,Manual,34566,Hybrid,293,52.5,1.1
Focus,2019,12425,Manual,59189,Hybrid,274,67.9,2.2
Fiesta,2018,24032,Automatic,42368,Petrol,207,49.9,1.8
Fiesta,2016,10198,Manual,21675,Diesel,207,45.2,2.9
Focus,2021,28626,Manual,5495,Hybrid,300,36.5,2.1
Focus,2015,28079,Manual,42668,Diesel,230,61.4,1.6
Focus,2018,11452,Manual,13673,Diesel,175,59.4,2.4
Fiesta,2019,17106,Manual,11130,Petrol,129,45.4,1.5
Focus,2018,21859,Automatic,22668,Hybrid,120,31,2.8
Fiesta,2015,25692,Manual,15222,Petrol,255,63.6,1.7
Focus,2022,28561,Automatic,23669,Petrol,289,30.5,2.1
Focus,2022,16705,Automatic,34068,Diesel,260,58.1,1.1
Fiesta,2020,18112,Automatic,23253,Hybrid,262,68.8,1.9
Focus,2022,27978,Manual,9435,Petrol,279,47.5,2.7
Focus,2020,12841,Manual,28552,Hybrid,133,39.4,2.6
Focus,2018,23358,Manual,52249,Petrol,140,58.2,1.4
Fiesta,2017,9409,Automatic,37384,Hybrid,150,62.7,1.5
Focus,2021,12566,Automatic,16393,Petrol,274,51.9,2.6
Fiesta,2021,19382,Automatic,10617,Diesel,181,68.7,2.9
Focus,2018,28875,Automatic,38520,Diesel,157,32.1,1.2
Focus,2016,25939,Automatic,9852,Petrol,174,50.2,1.9
Focus,2016,22596,Manual,31401,Diesel,284,58.7,1.7
Focus,2022,8804,Manual,59975,Petrol,122,64.5,2.7
Focus,2021,21221,Automatic,6295,Diesel,275,37.2,1.2
Focus,2021,9279,Manual,53967,Hybrid,227,62,1.4
Fiesta,2020,21192,Automatic,50224,Diesel,249,52.1,2.5
Fiesta,2017,15083,Automatic,35993,Hybrid,116,45.9,1.1
Focus,2015,19093,Automatic,34084,Hybrid,168,35.3,2
Focus,2016,25771,Manual,54851,Diesel,207,64.6,1.9
Fiesta,2021,20880,Manual,45105,Hybrid,238,36.3,1.7
Focus,2020,23517,Manual,39575,Diesel,193,42.4,1.8
Focus,2019,27063,Automatic,55826,Hybrid,114,41.6,2.1
Focus,2020,10106,Manual,36451,Diesel,190,64.9,1.3
Fiesta,2016,24086,Manual,7227,Hybrid,262,56.9,2.1
Focus,2016,28607,Manual,31910,Petrol,132,61.9,2.6
Focus,2020,12831,Automatic,36041,Diesel,224,40,2.5
Fiesta,2015,27152,Manual,23384,Diesel,115,55,1.3
Focus,2018,11186,Manual,145,Diesel,261,52.9,1.3
Fiesta,2016,10573,Automatic,37778,Hybrid,165,63.3,1.5
Focus,2020,20808,Manual,16035,Petrol,267,66.2,1.7
Focus,2021,10599,Automatic,3040,Hybrid,255,30.5,1.8
Focus,2020,12033,Automatic,42422,Hybrid,146,57,2.4
Focus,2017,16428,Manual,26160,Diesel,266,32.1,1.1
Focus,2018,9304,Automatic,49634,Hybrid,297,52,1.1
Fiesta,2019,25685,Manual,52331,Hybrid,300,41.5,1.8
Fiesta,2015,26925,Automatic,17633,Petrol,247,42.3,2.4
Fiesta,2022,26435,Manual,29344,Hybrid,223,44.1,1.4
Fiesta,2019,16633,Automatic,17014,Petrol,100,54.9,2.3
Focus,2018,19372,Manual,14996,Diesel,299,43.4,1.5
Focus,2018,16996,Manual,49104,Petrol,186,59.3,2.8
Fiesta,2018,24458,Manual,41621,Petrol,227,46.2,2.8
Focus,2019,13475,Manual,11695,Diesel,290,32.7,1.6
Focus,2021,15184,Automatic,2852,Petrol,166,61.4,1.5
Focus,2018,20875,Manual,16014,Petrol,103,41.4,1.8
Fiesta,2020,9622,Manual,27042,Diesel,285,47.3,1.5
Fiesta,2019,23988,Manual,33755,Hybrid,252,57.4,2.3
Focus,2022,16041,Manual,40390,Petrol,146,43.3,2.7
Fiesta,2018,24725,Automatic,23711,Hybrid,137,32.3,2.3
Focus,2020,26458,Manual,26122,Diesel,242,45,2.6
Fiesta,2021,15992,Automatic,57993,Diesel,290,67.8,1.8
Focus,2017,23646,Manual,9160,Hybrid,120,55.7,1.3
Focus,2021,25029,Automatic,27213,Petrol,156,56.9,2.5
Focus,2022,12263,Automatic,50252,Hybrid,216,55.3,1.7
Focus,2018,22060,Automatic,39420,Diesel,280,38,2.3
Focus,2022,23156,Automatic,57784,Diesel,145,46.7,1.5
Focus,2019,16646,Manual,7421,Petrol,241,60,1.2
Focus,2016,19664,Automatic,21400,Diesel,244,34.1,3
Focus,2018,10969,Automatic,33537,Hybrid,138,41.1,1.3
Focus,2016,11028,Automatic,17727,Hybrid,236,41.1,3
Focus,2020,27065,Manual,46882,Hybrid,198,47.3,3
Focus,2017,11629,Manual,4358,Hybrid,176,69.2,2.6
Fiesta,2015,28609,Manual,28482,Petrol,214,32.7,2.3
Fiesta,2022,11067,Automatic,58921,Hybrid,233,50.7,2.2
Fiesta,2021,13941,Automatic,32117,Petrol,250,37.2,2.7
Focus,2017,25770,Automatic,23164,Diesel,286,68.8,1.6
Fiesta,2018,27250,Automatic,31910,Diesel,190,34.5,1.9
Fiesta,2016,29172,Manual,32496,Petrol,197,46.1,2.2
Fiesta,2021,19555,Automatic,55754,Petrol,219,59.5,1.8
Fiesta,2016,29874,Manual,44311,Diesel,145,58.2,1.9
Focus,2019,21081,Automatic,29371,Diesel,137,46.9,1.7
Focus,2016,28508,Automatic,51501,Hybrid,241,43.9,2.1
Focus,2019,28234,Automatic,38467,Petrol,199,45.9,2.7
Fiesta,2020,29799,Automatic,17625,Diesel,171,40.6,1.4
Fiesta,2021,14819,Manual,33893,Petrol,289,38.2,2.9
Focus,2021,19046,Automatic,10793,Diesel,134,49.3,2.4
Fiesta,2015,25717,Manual,31007,Petrol,246,40.7,2.6
Focus,2018,28534,Automatic,25766,Petrol,129,41.5,2.1
Fiesta,2019,10711,Manual,39532,Diesel,177,56.3,2.6
Focus,2015,12853,Automatic,54253,Hybrid,183,68.7,1
Fiesta,2016,29792,Manual,12323,Hybrid,212,54.1,2.6
Fiesta,2016,15715,Automatic,45799,Hybrid,124,33.1,1.1
Focus,2015,16942,Automatic,46820,Diesel,267,33,2.8
Fiesta,2021,23507,Manual,45408,Diesel,187,68.1,3
Fiesta,2016,23826,Manual,7843,Hybrid,113,41.9,1.6
Focus,2022,9762,Manual,14210,Diesel,253,33.7,1.4
Fiesta,2020,23850,Manual,16456,Diesel,201,54,2.5
Focus,2020,20112,Automatic,31367,Hybrid,249,54.9,1.5
Fiesta,2022,20652,Automatic,54624,Diesel,275,55.9,2.7
Fiesta,2015,14122,Automatic,10106,Diesel,182,40.7,1.2
Focus,2022,8481,Manual,37957,Petrol,209,30.6,1.3
Focus,2019,22536,Manual,2472,Petrol,278,68.6,3
Focus,2019,8153,Automatic,49859,Hybrid,230,40,2.3
Focus,2015,15617,Automatic,50956,Petrol,269,57,2.7
Focus,2022,9524,Manual,6704,Petrol,118,58.3,1.6
Fiesta,2019,10120,Manual,3713,Diesel,300,54.4,2.4
Fiesta,2021,23048,Automatic,5051,Petrol,127,42.5,2.2
Focus,2022,10343,Automatic,10756,Diesel,272,40.8,2.2
Focus,2021,13136,Automatic,2475,Petrol,170,53.9,2.4
Fiesta,2019,9240,Automatic,36378,Hybrid,162,64.6,2.2
Fiesta,2020,8060,Automatic,4255,Diesel,172,67.9,1.9
Focus,2019,17130,Manual,14484,Petrol,223,34.2,1.6
Focus,2021,26023,Manual,56549,Diesel,218,36.2,2.5
Fiesta,2017,20312,Automatic,34503,Hybrid,220,67.8,1.5
Fiesta,2018,21350,Automatic,58929,Hybrid,118,59.5,2.4
Fiesta,2016,20418,Manual,8258,Diesel,274,65.3,1.5
Fiesta,2022,9252,Manual,40747,Hybrid,241,38.1,2.3
Focus,2017,28587,Automatic,35196,Hybrid,219,53.5,2.5
Fiesta,2019,16363,Manual,45113,Petrol,265,58,1.4
Fiesta,2020,17650,Manual,40194,Hybrid,280,57.2,1.1
Fiesta,2015,27933,Automatic,8533,Petrol,160,46.3,1.3
Focus,2019,28581,Automatic,32581,Diesel,263,30.6,2.2
Fiesta,2020,26706,Automatic,5249,Hybrid,267,53.3,2.7
Focus,2018,24314,Automatic,54443,Diesel,129,40.1,1.1
Focus,2019,12090,Manual,19201,Hybrid,108,48,2.5
Focus,2021,14960,Manual,58576,Petrol,163,68.3,1.7
Focus,2015,11004,Automatic,53026,Hybrid,260,46,2
Focus,2020,29520,Manual,59745,Diesel,219,63.6,2.9
Focus,2020,24713,Automatic,9686,Hybrid,151,37.5,1.7
Fiesta,2020,11640,Automatic,46877,Petrol,188,56.9,1.9
Fiesta,2018,28491,Automatic,53363,Diesel,241,69.1,1
Fiesta,2019,9341,Automatic,32007,Petrol,152,34.1,1.2
Fiesta,2018,19855,Manual,661,Hybrid,286,30.3,1.5
Focus,2022,8338,Automatic,44843,Hybrid,177,47.3,1.1
Fiesta,2016,13895,Manual,30137,Petrol,140,33.7,2.3
Fiesta,2016,20254,Manual,47556,Diesel,295,59.9,1.9
Fiesta,2022,27092,Automatic,42828,Petrol,167,66.6,2.1
Fiesta,2019,19344,Automatic,48604,Diesel,107,47.4,1.3
Fiesta,2021,9750,Manual,10526,Diesel,101,40.3,1.6
Fiesta,2018,29988,Automatic,3374,Diesel,204,47.4,2.3
Fiesta,2015,10421,Automatic,25592,Petrol,224,58.9,2.9
Focus,2020,15119,Automatic,28982,Diesel,209,30.4,1.1
Focus,2020,13319,Manual,207,Petrol,185,53.6,2.8
Focus,2019,23896,Manual,35433,Petrol,268,54.5,2.2
Focus,2021,29771,Manual,51645,Petrol,219,55.5,2.1
Fiesta,2016,19918,Automatic,23197,Hybrid,226,39.7,2
Fiesta,2016,28377,Automatic,33400,Hybrid,282,58.6,1.1
Focus,2020,21849,Automatic,59446,Hybrid,115,33.7,1.2
Focus,2019,12873,Automatic,3083,Diesel,161,38,2.2
Focus,2018,12806,Manual,29328,Hybrid,212,65.1,1.7
Fiesta,2016,16592,Manual,46479,Hybrid,275,59.5,2.8
Fiesta,2018,20182,Automatic,42891,Hybrid,257,30.5,1.8
Focus,2021,27541,Manual,20103,Diesel,111,39.9,1.3
Fiesta,2016,24774,Manual,39891,Petrol,134,38.6,2.4
Focus,2016,20045,Manual,10754,Hybrid,110,40.8,1.6
Fiesta,2017,12430,Manual,34447,Petrol,163,39.9,2.1
Fiesta,2016,16820,Automatic,15901,Petrol,149,32.5,2.4
Fiesta,2022,12232,Automatic,33004,Petrol,248,48.4,2.8
Focus,2015,19122,Automatic,7446,Petrol,168,59.3,2.6
Fiesta,2022,23023,Manual,37211,Hybrid,147,54.3,2.4
Fiesta,2019,16007,Manual,55922,Diesel,119,56.9,2.4
Fiesta,2019,25905,Automatic,48231,Hybrid,200,33.2,2.9
Fiesta,2018,17018,Automatic,29301,Diesel,294,68.1,1.6
Focus,2022,9500,Manual,26116,Hybrid,271,63.5,1
Focus,2022,14737,Automatic,55251,Hybrid,260,62.2,1.5
Focus,2022,11294,Automatic,41323,Petrol,300,62.9,1.4
Fiesta,2021,29469,Automatic,18752,Diesel,288,67.3,2.3
Focus,2016,26803,Automatic,32376,Hybrid,236,51.8,2.3
Focus,2015,27426,Automatic,16669,Diesel,167,38,2.2
Focus,2018,12497,Automatic,32916,Diesel,134,54.7,1
Focus,2022,25850,Manual,13395,Hybrid,164,59.7,2.5
Focus,2022,27945,Automatic,20421,Diesel,107,59.5,1.6
Focus,2017,8614,Automatic,55701,Hybrid,144,50.9,2.3
Fiesta,2018,29776,Manual,56273,Hybrid,186,32.7,2.1
Fiesta,2022,17374,Automatic,26342,Petrol,274,44.8,1.7
Focus,2018,27607,Automatic,4895,Petrol,267,66.8,1.3
Focus,2016,10667,Manual,54432,Diesel,175,53.4,1.2
Focus,2017,21409,Automatic,50164,Petrol,281,51.5,2.7
Fiesta,2018,24514,Automatic,11023,Diesel,175,40.8,2.8
Fiesta,2015,10983,Manual,10699,Hybrid,273,44.7,2.3
Fiesta,2015,28662,Manual,9715,Petrol,146,65.8,1.2
Fiesta,2019,20651,Automatic,19169,Hybrid,114,56.7,1.8
Focus,2017,16230,Manual,59900,Petrol,204,61.5,2.5
Fiesta,2017,14640,Automatic,52877,Petrol,246,48.2,2.6
Fiesta,2019,19779,Manual,16163,Petrol,125,55.2,1.2
Focus,2018,29852,Manual,53728,Hybrid,151,39.9,1
Focus,2017,23317,Manual,5782,Diesel,192,58.2,2.4
Focus,2015,25304,Manual,22641,Petrol,249,47.1,1.7
Fiesta,2015,15564,Manual,58945,Hybrid,120,47.7,1.5
Focus,2022,23520,Manual,18792,Diesel,150,56,1
Focus,2016,21737,Automatic,49492,Diesel,137,67.5,2.1
Fiesta,2017,17323,Automatic,35585,Petrol,119,32.6,2.7
Focus,2018,23229,Automatic,30682,Hybrid,256,63,2.9
Focus,2019,19713,Manual,47864,Hybrid,278,41.7,2.1
Focus,2019,16502,Automatic,18880,Diesel,231,47.8,2
Focus,2018,27625,Manual,55114,Hybrid,154,30.9,1.2
Focus,2021,8545,Automatic,38067,Diesel,298,42,2.1
Fiesta,2020,12346,Automatic,42685,Diesel,191,50.1,1.8
Fiesta,2016,17996,Manual,56726,Diesel,127,32.2,2.2
Focus,2019,23775,Manual,18073,Petrol,103,49.6,1.8
Focus,2017,21919,Manual,36035,Hybrid,249,67.1,1.5
Focus,2016,11810,Automatic,37174,Petrol,175,34.2,1.2
Focus,2017,15206,Automatic,24837,Diesel,272,60.6,1.6
Focus,2021,17005,Automatic,17826,Hybrid,166,46.4,1.2
Fiesta,2015,24371,Automatic,24981,Hybrid,185,56.2,1.4
Focus,2016,20316,Manual,10382,Diesel,293,40.4,3
Fiesta,2022,26416,Automatic,4437,Hybrid,261,36.4,1.9
Focus,2019,16436,Automatic,5435,Diesel,190,36.4,2.1
Focus,2016,20984,Automatic,24819,Diesel,282,32.8,2.7
Focus,2016,8271,Automatic,36875,Diesel,204,37.4,3
Fiesta,2016,27895,Automatic,31982,Diesel,100,56.6,2.2
Focus,2020,26155,Manual,33328,Hybrid,171,65.3,2.6
Fiesta,2016,18616,Manual,12329,Petrol,186,62.6,1.7
Focus,2017,12361,Automatic,25169,Hybrid,265,57.4,1.6
Focus,2015,15069,Automatic,21932,Petrol,105,34.4,1.8
Fiesta,2021,25304,Manual,34594,Hybrid,252,41.6,2.3
Fiesta,2018,11430,Automatic,11421,Diesel,244,42.4,2.4
Focus,2016,28819,Automatic,45033,Hybrid,160,40,1.6
Focus,2019,20676,Manual,7629,Hybrid,111,50.6,1.3
Focus,2016,18816,Automatic,8325,Hybrid,105,51.4,2.3
Fiesta,2019,28144,Automatic,52290,Diesel,126,44.3,1.3
Fiesta,2017,10050,Automatic,28495,Petrol,235,44.2,2.2
Focus,2019,19692,Automatic,31750,Hybrid,223,63.1,2.4
Fiesta,2022,9165,Automatic,29619,Diesel,205,61.6,2.4
Focus,2018,10033,Automatic,40461,Petrol,292,42.3,2.5
Focus,2015,8145,Manual,8264,Diesel,284,66.6,2.7
Focus,2019,22269,Automatic,12686,Petrol,192,68.1,2
Fiesta,2019,28772,Automatic,46484,Diesel,208,43.1,2.5
Fiesta,2015,15832,Automatic,24226,Diesel,198,44.2,2.2
Fiesta,2018,22286,Manual,6721,Diesel,267,50.2,1.4
Fiesta,2016,10632,Automatic,56154,Diesel,241,67.6,1.1
Focus,2019,12494,Manual,20609,Diesel,134,65.1,1.6
Fiesta,2015,23152,Automatic,52130,Hybrid,275,34.1,1.9
Focus,2022,17155,Manual,7373,Hybrid,183,45.7,2.2
Fiesta,2022,18426,Automatic,38675,Petrol,155,52.1,2.7
Fiesta,2017,18233,Automatic,55249,Hybrid,276,50.1,1.4
Fiesta,2015,9828,Automatic,48895,Diesel,240,37.8,1.3
Focus,2017,20260,Automatic,28937,Diesel,288,64.4,2.9
Fiesta,2022,17130,Manual,5656,Hybrid,148,57.1,1.2
Fiesta,2018,12805,Manual,59329,Petrol,145,63.5,2
Focus,2016,8806,Automatic,8984,Petrol,212,64.4,2.2
Focus,2015,16202,Automatic,29984,Petrol,289,59.9,2.1
Focus,2021,9868,Manual,53411,Hybrid,235,47.6,1.2
Focus,2022,22561,Manual,8286,Diesel,142,54.4,1.1
Focus,2022,23512,Manual,5901,Petrol,247,36.4,1.2
Focus,2021,22899,Manual,31552,Petrol,223,56.9,2.2
Fiesta,2020,24220,Manual,25709,Petrol,196,37.2,2.1
Focus,2022,23934,Manual,31055,Diesel,189,57.8,1.5
Fiesta,2019,13429,Manual,37685,Diesel,138,39.2,2.3
Focus,2018,17076,Manual,8429,Petrol,184,34.7,2.6
Fiesta,2015,11564,Manual,14716,Diesel,276,36.6,1.1
Fiesta,2021,9389,Automatic,48563,Petrol,291,30.1,2
Fiesta,2019,19593,Automatic,11138,Hybrid,161,58.7,2.4
Focus,2021,15274,Automatic,35298,Petrol,205,59.3,1.5
Focus,2015,25208,Manual,51112,Hybrid,206,50.6,1.6
Focus,2017,26649,Manual,23429,Diesel,153,36.5,2.2
Focus,2015,25320,Manual,50200,Petrol,225,33.3,2.8
Fiesta,2020,18745,Manual,5772,Diesel,108,30.8,2.6
Focus,2015,22199,Automatic,48244,Petrol,187,36.6,2.2
Focus,2015,28229,Automatic,51681,Hybrid,136,65.6,2.5
Focus,2020,23876,Automatic,48519,Diesel,148,39.7,1.7
Fiesta,2018,26180,Manual,35732,Diesel,140,44.2,2.3
Focus,2022,16245,Automatic,39905,Petrol,116,34.2,1.9
Focus,2015,15214,Automatic,17347,Diesel,187,38.9,1.4
Focus,2020,8726,Automatic,16920,Hybrid,120,50.8,2.4
Focus,2019,27120,Manual,31822,Hybrid,150,54.3,2.1
Focus,2017,21832,Manual,46659,Petrol,158,39.8,1.7
Focus,2017,19362,Manual,40108,Petrol,266,32.3,2.8
Focus,2015,26297,Manual,23563,Diesel,282,45.6,1
Fiesta,2018,18106,Manual,7967,Hybrid,140,39.4,1.6
Fiesta,2018,15657,Automatic,45183,Diesel,138,38.8,1.1
Focus,2019,26850,Manual,11871,Hybrid,240,68.4,2.5
Fiesta,2015,22551,Manual,28763,Hybrid,291,54.7,2.4
Focus,2017,15906,Automatic,11916,Petrol,110,52.3,1.7
Fiesta,2018,29260,Automatic,8734,Diesel,246,46.6,2.4
Focus,2015,15287,Manual,33613,Hybrid,238,47.2,1.8
Focus,2021,8892,Automatic,28179,Petrol,176,51.6,2.5
Focus,2018,18222,Manual,54929,Hybrid,226,57.9,1.9
Focus,2020,12675,Manual,52188,Petrol,145,58.1,1.8
Fiesta,2021,9933,Automatic,55099,Petrol,144,36.9,2.9
Focus,2022,25764,Manual,35262,Petrol,100,50,1.5
Fiesta,2018,19873,Automatic,12677,Diesel,267,46.5,1.2
Fiesta,2017,25674,Automatic,51871,Petrol,207,64.8,2.2
Focus,2016,26024,Automatic,18268,Petrol,118,55.3,2.9
Fiesta,2021,21239,Automatic,12330,Hybrid,175,51.3,1.8
Focus,2022,18874,Manual,20733,Petrol,171,34.6,1.1
Fiesta,2019,25602,Automatic,37947,Hybrid,299,54.2,1.7
Focus,2019,13016,Automatic,27286,Hybrid,288,34.7,2
